,artists,album_name,track_name,popularity,explicit,danceability,energy,speechiness,instrumentalness,tempo,track_genre,duration(mm:ss),year,title,category,nominee
116,one sonic society;Elle Limebear,Love Song,Love Song,43,False,Poco bailable,0.568,0.0395,0.000107,187.774,world-music,03:34,1974,17th Annual GRAMMY Awards  (1974),"Best Country Vocal Performance, Female",True
117,Eddie Vedder,Into The Wild (Music For The Motion Picture),Rise,60,False,Poco bailable,0.58,0.0541,0.217,173.277,acoustic,02:36,1979,22nd Annual GRAMMY Awards  (1979),Best Pop Instrumental Performance,True
118,Boyce Avenue,"Cover Sessions, Vol. 4",Rise,49,False,Poco bailable,0.177,0.0374,0.0,103.822,acoustic,03:22,1979,22nd Annual GRAMMY Awards  (1979),Best Pop Instrumental Performance,True
119,Stanton Warriors,Rise,Rise,18,False,Poco bailable,0.729,0.0293,0.218,123.99,breakbeat,03:45,1979,22nd Annual GRAMMY Awards  (1979),Best Pop Instrumental Performance,True
120,Gabrielle,Now And Always: 20 Years Of Dreaming,Rise,30,False,Poco bailable,0.484,0.0253,1.67e-05,144.737,british,03:38,1979,22nd Annual GRAMMY Awards  (1979),Best Pop Instrumental Performance,True
121,Jonas Blue;Jack & Jack,Blue,Rise,71,False,Bailable,0.785,0.0333,0.0,106.046,dance,03:14,1979,22nd Annual GRAMMY Awards  (1979),Best Pop Instrumental Performance,True
122,Jonas Blue;Jack & Jack,Blue,Rise,71,False,Bailable,0.785,0.0333,0.0,106.046,edm,03:14,1979,22nd Annual GRAMMY Awards  (1979),Best Pop Instrumental Performance,True
123,Hans Zimmer,The Dark Knight Rises (Original Motion Picture Soundtrack) [Deluxe Edition],Rise,54,False,No bailable,0.313,0.0351,0.882,94.943,german,07:15,1979,22nd Annual GRAMMY Awards  (1979),Best Pop Instrumental Performance,True
124,Maneli Jamal,Rise,Rise,30,False,Bailable,0.255,0.0617,0.892,120.102,guitar,02:35,1979,22nd Annual GRAMMY Awards  (1979),Best Pop Instrumental Performance,True
125,Jonas Blue;Jack & Jack,Blue,Rise,71,False,Bailable,0.785,0.0333,0.0,106.046,house,03:14,1979,22nd Annual GRAMMY Awards  (1979),Best Pop Instrumental Performance,True
126,Skillet,Rise (Deluxe Edition),Rise,61,False,Poco bailable,0.921,0.0724,0.0,87.938,metal,04:20,1979,22nd Annual GRAMMY Awards  (1979),Best Pop Instrumental Performance,True
127,Kina Grannis,Creep,Creep,58,False,Poco bailable,0.103,0.0309,0.0,133.057,acoustic,03:54,1995,38th Annual GRAMMY Awards  (1995),Best R&B Performance By A Duo Or Group With Vocal,True
128,Radiohead,Pablo Honey,Creep,85,True,Poco bailable,0.43,0.0372,0.000133,91.844,alt-rock,03:58,1995,38th Annual GRAMMY Awards  (1995),Best R&B Performance By A Duo Or Group With Vocal,True
129,Radiohead,Pablo Honey,Creep,85,True,Poco bailable,0.43,0.0372,0.000133,91.844,alternative,03:58,1995,38th Annual GRAMMY Awards  (1995),Best R&B Performance By A Duo Or Group With Vocal,True
130,Kato,Stranger Things Vibes,Creep,25,False,Poco bailable,0.337,0.058,0.828,155.979,anime,02:13,1995,38th Annual GRAMMY Awards  (1995),Best R&B Performance By A Duo Or Group With Vocal,True
131,GAMPER & DADONI,Creep,Creep,62,False,Poco bailable,0.576,0.0354,0.103,124.993,deep-house,02:54,1995,38th Annual GRAMMY Awards  (1995),Best R&B Performance By A Duo Or Group With Vocal,True
132,GAMPER & DADONI,Creep,Creep,62,False,Poco bailable,0.576,0.0354,0.103,124.993,german,02:54,1995,38th Annual GRAMMY Awards  (1995),Best R&B Performance By A Duo Or Group With Vocal,True
